,establishment_id,Preds,establishment_name,latitude_x,longitude_x,label
110,10453816,0,mcdonald's,43.669426699,-79.33929666430001,Pass
111,10615263,1,planta burger,43.651122115,-79.379023838,Infraction
112,10585016,0,ed's real scoop,43.615932,-79.48813,Pass
113,10581766,1,chicken monster,43.7783765854,-79.4148137689,Infraction
114,9415894,1,oh geul boh geul,43.7732442813,-79.4142448425,Infraction
115,10622007,0,residence inn by marriott - hearth room,43.6901932546,-79.5880852932,Pass
116,9023454,0,harbord convenience,43.662693,-79.40389,Pass
117,10561440,0,the station,43.6490049317,-79.4846162602,Pass
118,10508712,0,chocosol,43.6781115518,-79.4412055138,Pass
119,10611041,1,poor romeo,43.6687491462,-79.3370660632,Infraction
120,10550768,1,karma's kitchen,43.6718416719,-79.3230938551,Infraction
121,10265356,1,govardhan thal,43.7676769346,-79.2286839224,Infraction
122,10582594,1,mymy chicken,43.764220837299995,-79.4109085799,Infraction
123,10569643,1,love chix,43.665157,-79.45405,Infraction
124,10268537,0,residence inn  downtown toronto,43.644894,-79.390594,Pass
125,10628657,1,el local loco,43.647842,-79.37354,Infraction
126,10522227,1,freshly squeezed,43.64460800000001,-79.38601,Infraction
127,10423377,1,patisserie 27,43.6584973182,-79.4879170788,Infraction
128,10467394,0,douce france,43.71158664399999,-79.3990933992,Pass
129,10578636,0,kensington cafe,43.6582381282,-79.4041010537,Pass
130,10525378,0,revue cinema,43.6510528265,-79.4512434344,Pass
131,10569598,1,el pulgarcito,43.792868991999995,-79.2591674981,Infraction
132,10329523,0,queens pasta cafe,43.6505880263,-79.4779142767,Pass
133,10434361,1,bloor meat & grocery,43.663967,-79.41658000000002,Infraction
134,10434361,1,bloor meat & grocery,43.663967,-79.41658000000002,Infraction
135,10256435,1,eastern twist,43.6829151798,-79.41846452899999,Infraction
136,9004465,1,domino's pizza,43.76391507859999,-79.3988691209,Infraction
137,10402910,0,king's vegetarian food,43.7864427209,-79.2699170513,Pass
138,10400502,0,yonge seafood gourmet,43.7013902395,-79.397557046,Pass
139,10249412,1,hana korea,43.65583,-79.394295,Infraction
140,10409433,0,pizza nova,43.6853913641,-79.315536959,Pass
141,10191928,0,tim hortons,43.64945,-79.37709,Pass
142,10433043,1,golden wheat bakery cafe,43.6818567938,-79.4710999751,Infraction
143,9419578,0,the empanada company,43.5921759605,-79.5417940749,Pass
144,10601051,0,the federal,43.649570000000004,-79.43008,Pass
145,9094857,1,el trompo,43.65582,-79.402534,Infraction
146,10545423,1,kinton ramen,43.660396773,-79.378957778,Infraction
147,10575621,0,papa john's pizza,43.775352294899996,-79.1792911987,Pass
148,10592104,1,potbelly sandwich shop,43.668713000000004,-79.39483,Infraction
149,10624561,1,freshco,43.66825,-79.441284,Infraction
150,10332080,1,red sail boat bakery,43.7916230811,-79.313256129,Infraction
151,10593104,1,the halal guys,43.665195008299996,-79.38429195229999,Infraction
152,10408528,1,focaccia restaurant,43.6693429226,-79.386039023,Infraction
153,10591433,0,costco,43.731467339,-79.282722517,Pass
154,10624660,0,jimmy's coffee,43.6453003221,-79.4002088473,Pass
155,9059891,1,galati market fresh,43.7983546694,-79.3696157603,Infraction
156,10395662,0,lucky dice dining lounge,43.601468996899996,-79.5032849359,Pass
157,9010129,0,mike's fish market,43.64905,-79.37177,Pass
158,10509295,1,cobs bread,43.6697995696,-79.3005833629,Infraction
159,10545681,1,prairie boy,43.6535452202,-79.42760651260001,Infraction
160,9393597,1,pho saigon vietnamese noodle soup,43.7270124417,-79.2881446221,Infraction
161,10253750,1,the comrade,43.6594737697,-79.3479940519,Infraction
162,10447388,0,starbucks coffee,43.6960063527,-79.3291891721,Pass
163,9010660,1,mystic muffin,43.652355,-79.37269599999998,Infraction
164,10212768,1,dumpling house restaurant,43.65384,-79.398636,Infraction
165,10538509,0,the corner espresso,43.650944,-79.38904000000002,Pass
166,10434823,0,cafe frappe,43.677963644799995,-79.3485646879,Pass
167,10482234,1,rhum corner,43.650944,-79.41318000000003,Infraction
168,10586544,0,parkway fine foods,43.7004600158,-79.4267697807,Pass
169,10191813,1,tim hortons,43.716934925699995,-79.44743415090001,Infraction
170,9014986,1,sunset grill,43.670339696999996,-79.2996346483,Infraction
171,9017954,1,zanzibar tavern,43.6581599798,-79.3814323249,Infraction
172,10550181,1,hollandaise diner,43.6863651914,-79.3090704863,Infraction
173,10325002,0,thrive organic kitchen and cacfe,43.59490342350001,-79.5304104331,Pass
174,10433626,1,gabby's,43.679126715500004,-79.3430072905,Infraction
175,10574659,0,montgomery's,43.64435,-79.4185,Pass
176,10621293,1,empiregrill & rotisserie chicken,43.699803,-79.4317397,Infraction
177,9044090,1,gio rana's really really nice restaurant,43.663449373,-79.3304880405,Infraction
178,10477706,1,maple cafe,43.6824148761,-79.3297642949,Infraction
179,10550606,1,lucky shrike bar,43.651516,-79.410324,Infraction
180,10572721,0,marcello's,43.64924600000001,-79.38375,Pass
181,10514776,0,raise the root,43.6629445008,-79.3325819545,Pass
182,10598724,1,mr. six fried chicken,43.8051359318,-79.2876137289,Infraction
183,10458469,0,wing wing restaurant,43.6910354158,-79.2900967436,Pass
184,10552995,1,hero certified burgers,43.670480005600005,-79.2991550929,Infraction
185,10519654,1,jugo juice,43.650284,-79.38078,Infraction
186,10609951,1,mcdonald's,43.7526980587,-79.2607174931,Infraction
187,10589967,1,dazzling cafe,43.7612373643,-79.408936962,Infraction
188,10435531,0,academy of lions,43.645645,-79.41954,Pass
189,10229964,1,tov-li pizza & falafel,43.7293003556,-79.4317444094,Infraction
190,10198926,0,oakwood cafe,43.687169722200004,-79.4383801362,Pass
191,10561566,1,jacky's seafood restaurant,43.809302652700005,-79.2903465402,Infraction
192,10588612,1,happy lemon,43.7762476266,-79.4143229729,Infraction
193,10552380,1,panda chef wok and sushi,43.726893650200005,-79.4807561982,Infraction
194,10311693,0,jim's no frills,43.6318768532,-79.5184929762,Pass
195,10530465,0,mashita sushi n roll,43.623924,-79.49002,Pass
196,10593096,0,brett's,43.6673019014,-79.3129163633,Pass
